"Scenario","MTD","Dose1","Dose2","Dose3","Dose4","Dose5","Attempt"
1,2,0.13,0.29,0.4,0.57,0.62,2
2,3,0.13,0.24,0.34,0.43,0.64,1
3,3,0.08,0.17,0.34,0.52,0.64,1
4,3,0.07,0.17,0.36,0.53,0.7,1
5,2,0.19,0.37,0.53,0.66,0.76,1
6,2,0.17,0.28,0.37,0.51,0.7,1
7,5,0.01,0.03,0.06,0.14,0.28,1
8,1,0.32,0.43,0.56,0.62,0.73,1
9,3,0.05,0.1,0.25,0.36,0.49,1
10,1,0.25,0.43,0.56,0.76,0.86,1
11,5,0.01,0.02,0.08,0.16,0.24,1
12,5,0.02,0.04,0.09,0.17,0.35,1
13,4,0.03,0.11,0.21,0.34,0.59,2
14,3,0.07,0.14,0.34,0.41,0.56,1
15,3,0.06,0.11,0.31,0.44,0.62,1
16,1,0.34,0.52,0.7,0.85,0.93,1
17,1,0.33,0.55,0.72,0.83,0.87,1
18,3,0.07,0.2,0.3,0.46,0.68,1
19,3,0.07,0.14,0.26,0.38,0.57,1
20,3,0.09,0.16,0.3,0.37,0.56,1
21,2,0.16,0.37,0.57,0.79,0.89,1
22,2,0.16,0.26,0.45,0.6,0.73,1
23,4,0.02,0.04,0.13,0.29,0.42,1
24,4,0.01,0.04,0.09,0.31,0.48,1
25,3,0.08,0.24,0.35,0.5,0.58,1
26,5,0.02,0.07,0.12,0.22,0.34,1
27,2,0.15,0.35,0.51,0.61,0.8,1
28,4,0.03,0.07,0.2,0.29,0.41,1
29,1,0.28,0.36,0.46,0.58,0.72,1
30,1,0.31,0.43,0.58,0.71,0.79,1
31,1,0.3,0.54,0.71,0.82,0.89,1
32,3,0.04,0.14,0.28,0.4,0.59,1
33,5,0.02,0.05,0.11,0.21,0.28,1
34,1,0.37,0.5,0.64,0.81,0.88,1
35,5,0.01,0.03,0.09,0.2,0.29,1
36,5,0.01,0.02,0.05,0.1,0.36,1
37,1,0.35,0.44,0.67,0.84,0.92,1
38,5,0.01,0.03,0.06,0.12,0.28,1
39,1,0.36,0.47,0.57,0.7,0.87,1
40,3,0.08,0.11,0.23,0.38,0.53,1
41,5,0.02,0.03,0.05,0.14,0.37,1
42,4,0.01,0.04,0.12,0.27,0.44,2
43,4,0.03,0.07,0.17,0.34,0.53,1
44,2,0.17,0.29,0.49,0.67,0.79,1
45,3,0.06,0.15,0.29,0.49,0.63,1
46,5,0.01,0.02,0.04,0.1,0.25,1
47,2,0.13,0.27,0.4,0.63,0.74,1
48,5,0.02,0.03,0.1,0.2,0.27,1
