"Scenario","MTD","Dose1","Dose2","Dose3","Dose4","Dose5","Attempt"
1,2,0.16,0.28,0.39,0.48,0.64,1
2,5,0.04,0.08,0.15,0.22,0.3,2
3,3,0.13,0.2,0.28,0.43,0.54,1
4,4,0.05,0.12,0.2,0.27,0.34,1
5,2,0.18,0.32,0.38,0.52,0.67,1
6,1,0.31,0.36,0.44,0.52,0.63,2
7,5,0.05,0.09,0.13,0.24,0.31,1
8,3,0.18,0.25,0.3,0.32,0.42,1
9,4,0.1,0.15,0.22,0.34,0.42,1
10,5,0.06,0.09,0.16,0.19,0.26,1
11,5,0.06,0.1,0.12,0.2,0.28,1
12,1,0.35,0.51,0.59,0.72,0.84,1
13,2,0.2,0.34,0.52,0.61,0.66,1
14,1,0.31,0.46,0.59,0.67,0.75,1
15,3,0.09,0.15,0.25,0.38,0.51,1
16,2,0.21,0.35,0.43,0.51,0.61,1
17,4,0.09,0.13,0.23,0.32,0.4,1
18,5,0.05,0.1,0.14,0.17,0.26,1
19,2,0.18,0.34,0.43,0.5,0.6,1
20,1,0.34,0.52,0.62,0.73,0.82,1
21,4,0.11,0.15,0.23,0.32,0.44,1
22,5,0.06,0.09,0.13,0.18,0.34,1
23,5,0.04,0.07,0.11,0.18,0.26,1
24,5,0.05,0.09,0.15,0.18,0.26,1
25,4,0.08,0.16,0.23,0.33,0.41,1
26,1,0.29,0.4,0.47,0.6,0.73,1
27,4,0.06,0.12,0.19,0.27,0.45,1
28,2,0.19,0.33,0.46,0.65,0.75,1
29,5,0.06,0.09,0.17,0.23,0.34,1
30,5,0.05,0.12,0.16,0.21,0.28,1
31,3,0.13,0.2,0.33,0.37,0.46,1
32,4,0.06,0.08,0.15,0.28,0.37,1
33,5,0.04,0.06,0.09,0.2,0.25,1
34,1,0.3,0.46,0.52,0.64,0.72,1
35,5,0.07,0.09,0.13,0.21,0.31,1
36,3,0.07,0.14,0.25,0.37,0.52,1
37,3,0.14,0.2,0.34,0.4,0.5,1
38,4,0.1,0.15,0.24,0.31,0.42,1
39,3,0.12,0.19,0.29,0.32,0.43,1
40,4,0.06,0.11,0.21,0.34,0.43,1
41,2,0.22,0.31,0.39,0.51,0.63,1
42,5,0.05,0.07,0.12,0.17,0.27,1
43,4,0.07,0.14,0.19,0.3,0.38,1
44,5,0.06,0.08,0.14,0.24,0.33,1
45,1,0.29,0.38,0.54,0.66,0.73,1
46,3,0.14,0.2,0.32,0.38,0.5,1
47,4,0.1,0.16,0.25,0.34,0.4,1
48,2,0.19,0.27,0.4,0.46,0.54,1
49,2,0.24,0.33,0.5,0.62,0.74,1
50,3,0.13,0.21,0.32,0.45,0.58,1
51,3,0.15,0.2,0.33,0.42,0.54,1
52,3,0.13,0.16,0.28,0.32,0.4,1
53,2,0.18,0.29,0.4,0.55,0.69,1
54,1,0.34,0.41,0.54,0.66,0.75,1
55,5,0.05,0.08,0.14,0.19,0.29,1
56,2,0.15,0.29,0.38,0.45,0.61,1
57,4,0.11,0.13,0.2,0.33,0.43,1
58,5,0.02,0.06,0.09,0.15,0.26,1
59,2,0.21,0.3,0.45,0.59,0.69,1
60,1,0.34,0.48,0.62,0.73,0.8,1
61,2,0.21,0.26,0.4,0.58,0.65,2
62,3,0.15,0.19,0.32,0.4,0.51,1
63,1,0.25,0.37,0.46,0.58,0.69,1
64,5,0.05,0.08,0.11,0.2,0.33,1
65,5,0.05,0.1,0.15,0.22,0.35,1
66,4,0.07,0.11,0.14,0.28,0.32,1
67,2,0.25,0.33,0.42,0.5,0.63,1
68,4,0.08,0.15,0.2,0.34,0.43,1
69,5,0.03,0.06,0.12,0.2,0.32,1
70,1,0.33,0.37,0.53,0.6,0.67,1
71,2,0.24,0.29,0.4,0.53,0.61,1
72,4,0.1,0.13,0.24,0.31,0.44,1
73,4,0.1,0.13,0.2,0.3,0.43,1
74,2,0.24,0.28,0.35,0.46,0.55,1
75,5,0.02,0.04,0.08,0.17,0.33,1
76,4,0.04,0.08,0.13,0.26,0.41,1
77,4,0.11,0.15,0.23,0.35,0.44,1
78,2,0.13,0.26,0.39,0.5,0.59,1
79,1,0.33,0.43,0.53,0.65,0.75,1
80,5,0.06,0.09,0.16,0.25,0.29,1
81,4,0.09,0.13,0.21,0.3,0.33,5
82,1,0.27,0.41,0.51,0.65,0.74,1
83,1,0.32,0.44,0.55,0.69,0.79,1
84,3,0.15,0.25,0.33,0.45,0.62,1
85,3,0.17,0.21,0.33,0.51,0.59,1
86,1,0.33,0.45,0.58,0.68,0.78,1
87,4,0.1,0.15,0.23,0.27,0.36,1
88,2,0.21,0.35,0.44,0.48,0.56,1
89,1,0.3,0.35,0.46,0.58,0.68,1
90,4,0.05,0.09,0.17,0.28,0.41,1
91,5,0.05,0.09,0.16,0.24,0.32,1
92,5,0.05,0.08,0.12,0.21,0.27,1
93,1,0.29,0.33,0.41,0.55,0.64,1
94,4,0.04,0.09,0.18,0.25,0.36,1
95,2,0.18,0.26,0.38,0.45,0.55,1
96,1,0.26,0.37,0.44,0.53,0.65,1
97,1,0.26,0.4,0.51,0.66,0.73,1
98,2,0.22,0.33,0.4,0.58,0.72,1
99,5,0.04,0.08,0.14,0.21,0.31,1
100,2,0.22,0.32,0.45,0.52,0.61,1
101,2,0.19,0.28,0.33,0.42,0.51,1
102,3,0.12,0.19,0.27,0.41,0.52,1
103,3,0.1,0.19,0.31,0.45,0.53,1
104,5,0.03,0.07,0.12,0.21,0.34,1
105,1,0.34,0.49,0.56,0.64,0.75,1
106,3,0.1,0.2,0.26,0.34,0.43,1
107,1,0.32,0.36,0.43,0.51,0.66,1
108,2,0.22,0.3,0.46,0.59,0.7,1
109,5,0.05,0.08,0.15,0.24,0.3,1
110,2,0.27,0.32,0.4,0.53,0.6,1
111,3,0.13,0.22,0.27,0.36,0.52,1
112,3,0.2,0.27,0.32,0.44,0.47,1
113,1,0.3,0.39,0.44,0.55,0.67,1
114,4,0.14,0.17,0.25,0.34,0.49,1
115,2,0.22,0.31,0.4,0.5,0.63,2
116,1,0.33,0.47,0.64,0.7,0.78,1
117,2,0.2,0.34,0.42,0.48,0.64,1
118,4,0.11,0.18,0.24,0.34,0.45,1
119,3,0.14,0.21,0.31,0.45,0.62,1
120,4,0.09,0.17,0.25,0.32,0.43,1
121,1,0.29,0.35,0.51,0.61,0.68,1
122,5,0.03,0.05,0.07,0.12,0.25,1
123,1,0.33,0.35,0.48,0.6,0.67,1
124,5,0.03,0.06,0.11,0.17,0.27,1
125,4,0.07,0.11,0.19,0.32,0.41,1
126,5,0.05,0.06,0.1,0.14,0.25,1
127,4,0.06,0.11,0.15,0.26,0.39,1
128,3,0.18,0.25,0.34,0.44,0.57,1
129,1,0.31,0.41,0.59,0.69,0.76,1
130,5,0.05,0.09,0.12,0.17,0.29,1
131,3,0.11,0.19,0.3,0.38,0.51,1
132,3,0.13,0.16,0.28,0.36,0.38,2
133,1,0.34,0.42,0.51,0.61,0.64,1
134,4,0.09,0.11,0.16,0.28,0.4,1
135,2,0.23,0.32,0.45,0.54,0.62,2
136,5,0.03,0.05,0.09,0.15,0.26,2
137,3,0.16,0.23,0.31,0.43,0.55,1
138,3,0.09,0.19,0.28,0.4,0.5,1
